,Temperature,Humidity,Light,CO2,HumidityRatio,date,Occupancy
1,23.18,27.272,426.0,721.25,0.0047929881765052,2015-02-04 17:51:00,
2,23.15,27.2675,429.5,714.0,0.0047834409493106,2015-02-04 17:51:59,
3,23.15,27.245,426.0,713.5,0.0047794635244219,2015-02-04 17:53:00,
4,23.15,27.2,426.0,708.25,0.0047715088260817,2015-02-04 17:54:00,
5,23.1,27.2,426.0,704.5,0.0047569929333151,2015-02-04 17:55:00,
6,23.1,27.2,419.0,701.0,0.0047569929333151,2015-02-04 17:55:59,
7,23.1,27.2,419.0,701.666666666667,0.0047569929333151,2015-02-04 17:57:00,
8,23.1,27.2,419.0,699.0,0.0047569929333151,2015-02-04 17:57:59,
9,23.1,27.2,419.0,689.333333333333,0.0047569929333151,2015-02-04 17:58:59,
10,23.075,27.175,419.0,688.0,0.0047453507196665,2015-02-04 18:00:00,
11,23.075,27.15,419.0,690.25,0.0047409518969426,2015-02-04 18:01:00,
12,23.1,27.1,419.0,691.0,0.0047393707305206,2015-02-04 18:02:00,
13,23.1,27.1666666666667,419.0,683.5,0.0047511187556095,2015-02-04 18:03:00,
14,23.05,27.15,419.0,687.5,0.0047337317970825,2015-02-04 18:04:00,
15,23.0,27.125,419.0,686.0,0.0047149421459047,2015-02-04 18:04:59,
16,23.0,27.125,418.5,680.5,0.0047149421459047,2015-02-04 18:06:00,
17,23.0,27.2,0.0,681.5,0.0047280779496687,2015-02-04 18:07:00,
18,22.945,27.29,0.0,685.0,0.0047279513717807,2015-02-04 18:08:00,
19,22.945,27.39,0.0,685.0,0.0047454083970941,2015-02-04 18:08:59,
20,22.89,27.39,0.0,689.0,0.00472950615591,2015-02-04 18:10:00,
21,22.89,27.39,0.0,689.5,0.00472950615591,2015-02-04 18:10:59,
22,22.89,27.39,0.0,689.0,0.00472950615591,2015-02-04 18:11:59,
23,22.89,27.445,0.0,691.0,0.0047390755147466,2015-02-04 18:13:00,
24,22.89,27.5,0.0,688.0,0.0047486451658114,2015-02-04 18:14:00,
25,22.89,27.5,0.0,689.5,0.0047486451658114,2015-02-04 18:15:00,
26,22.79,27.445,0.0,689.0,0.0047102240468062,2015-02-04 18:16:00,
27,22.79,27.5,0.0,685.666666666667,0.0047197349991495,2015-02-04 18:16:59,
28,22.79,27.5,0.0,687.0,0.0047197349991495,2015-02-04 18:17:59,
29,22.79,27.5,0.0,688.0,0.0047197349991495,2015-02-04 18:19:00,
30,22.745,27.5,0.0,670.0,0.0047067761580489,2015-02-04 18:20:00,
31,22.7,27.4633333333333,0.0,668.666666666667,0.0046875430838439,2015-02-04 18:21:00,
32,22.7,27.5,0.0,670.0,0.0046938487141081,2015-02-04 18:22:00,
33,22.7,27.5,0.0,667.0,0.0046938487141081,2015-02-04 18:23:00,
34,22.6666666666667,27.4266666666667,0.0,664.5,0.0046717077646175,2015-02-04 18:23:59,
35,22.7,27.6,0.0,670.0,0.0047110465325231,2015-02-04 18:24:59,
36,22.6,27.4266666666667,0.0,670.333333333333,0.0046526994586977,2015-02-04 18:26:00,
37,22.6,27.39,0.0,672.0,0.0046464328065348,2015-02-04 18:27:00,
38,22.6,27.3566666666667,0.0,658.0,0.0046407359587843,2015-02-04 18:28:00,
39,22.6,27.445,0.0,660.5,0.0046558328317807,2015-02-04 18:29:00,
40,22.6,27.4266666666667,0.0,658.0,0.0046526994586977,2015-02-04 18:29:59,
41,22.6,27.445,0.0,655.0,0.0046558328317807,2015-02-04 18:30:59,
42,22.6,27.445,0.0,654.25,0.0046558328317807,2015-02-04 18:32:00,
43,22.6,27.39,0.0,648.0,0.0046464328065348,2015-02-04 18:33:00,
44,22.5,27.3233333333333,0.0,648.666666666667,0.0046067632029783,2015-02-04 18:34:00,
45,22.5,27.445,0.0,646.0,0.004627429032145,2015-02-04 18:35:00,
46,22.5,27.5,0.0,646.0,0.0046367715666975,2015-02-04 18:36:00,
47,22.5,27.445,0.0,641.5,0.004627429032145,2015-02-04 18:36:59,
48,22.39,27.29,0.0,639.0,0.0045702120879911,2015-02-04 18:38:00,
49,22.5,27.5,0.0,640.0,0.0046367715666975,2015-02-04 18:39:00,
50,22.39,27.34,0.0,630.5,0.0045786471451397,2015-02-04 18:40:00,
51,22.39,27.3566666666667,0.0,629.333333333333,0.0045814588813251,2015-02-04 18:40:59,
52,22.39,27.5,0.0,632.0,0.0046056408542605,2015-02-04 18:42:00,
53,22.39,27.5,0.0,636.5,0.0046056408542605,2015-02-04 18:42:59,
54,22.39,27.5,0.0,627.5,0.0046056408542605,2015-02-04 18:43:59,
55,22.39,27.39,0.0,626.0,0.0045870824294015,2015-02-04 18:45:00,
56,22.39,27.5,0.0,625.5,0.0046056408542605,2015-02-04 18:46:00,
57,22.34,27.39,0.0,623.5,0.0045730503494798,2015-02-04 18:47:00,
58,22.39,27.4633333333333,0.0,624.666666666667,0.0045994545904935,2015-02-04 18:48:00,
59,22.39,27.39,0.0,622.0,0.0045870824294015,2015-02-04 18:49:00,
60,22.29,27.39,0.0,621.0,0.0045590561485227,2015-02-04 18:49:59,
61,22.34,27.39,0.0,626.5,0.0045730503494798,2015-02-04 18:51:00,
62,22.29,27.39,0.0,622.0,0.0045590561485227,2015-02-04 18:52:00,
63,22.39,27.39,0.0,620.0,0.0045870824294015,2015-02-04 18:53:00,
64,22.29,27.39,0.0,621.5,0.0045590561485227,2015-02-04 18:53:59,
65,22.29,27.3566666666667,0.0,616.333333333333,0.0045534672090426,2015-02-04 18:55:00,
66,22.29,27.34,0.0,609.0,0.0045506727766926,2015-02-04 18:55:59,
